Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
6/23/2015,AQS,060730001,1,11.4,ug/m3 LC,55,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
6/26/2015,AQS,060730001,1,10.2,ug/m3 LC,53,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
6/29/2015,AQS,060730001,1,8,ug/m3 LC,44,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
7/2/2015,AQS,060730001,1,8.3,ug/m3 LC,46,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
7/5/2015,AQS,060730001,1,3.6,ug/m3 LC,20,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
7/8/2015,AQS,060730001,1,5.3,ug/m3 LC,29,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
7/11/2015,AQS,060730001,1,2.9,ug/m3 LC,16,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
7/14/2015,AQS,060730001,1,6.3,ug/m3 LC,35,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
7/17/2015,AQS,060730001,1,6.2,ug/m3 LC,34,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
7/20/2015,AQS,060730001,1,3.1,ug/m3 LC,17,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
7/23/2015,AQS,060730001,1,3.4,ug/m3 LC,19,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
7/26/2015,AQS,060730001,1,6.8,ug/m3 LC,38,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
7/29/2015,AQS,060730001,1,10.8,ug/m3 LC,54,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
8/1/2015,AQS,060730001,1,9.4,ug/m3 LC,52,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
8/4/2015,AQS,060730001,1,9.1,ug/m3 LC,51,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
8/7/2015,AQS,060730001,1,8.2,ug/m3 LC,46,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
8/10/2015,AQS,060730001,1,7,ug/m3 LC,39,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
8/13/2015,AQS,060730001,1,7.7,ug/m3 LC,43,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
8/16/2015,AQS,060730001,1,15.5,ug/m3 LC,63,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
8/19/2015,AQS,060730001,1,12.6,ug/m3 LC,58,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
8/22/2015,AQS,060730001,1,14.1,ug/m3 LC,60,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
