"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/01/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"04/02/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"04/03/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"04/04/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"04/05/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"04/06/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"04/07/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"04/08/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"04/09/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"04/10/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
